a.user	a.query	a.query as query1	a.md5key	a.rawkey	date(from_unixtime(a.timestamp)) as date	a.source	a.Judgements	a.Comments	a.comment	a.rank	m._Q1	m._Sno	m._Q2	b.data
markarevalo	2120	2120	c45147dee729311ef5b5c3003946c48f	116	2015-07-15	QueryPair	Excellent			0	fairmont hotel newport beach ca	116	fairmont newport beach ca	fairmont hotel newport beach ca
markarevalo	2125	2125	86e8f7ab32cfd12577bc2619bc635690	1385	2015-07-14	QueryPair	Good			0	baymont inn greenville nc	1385	baymont inn greenville south carolina	baymont inn greenville nc
markarevalo	2127	2127	d6ef5f7fa914c19931a55bb262ec879c	1114	2015-07-15	QueryPair	Excellent			0	holiday inn liverpool ny	1114	holiday inn in liverpool	holiday inn liverpool ny
markarevalo	213	213	14bfa6bb14875e45bba028a21ed38046	69	2015-07-15	QueryPair	Excellent			0	holiday inn houma la	69	holiday inn houma	holiday inn houma la
markarevalo	2133	2133	e58cc5ca94270acaceed13bc82dfedf7	1107	2015-07-14	QueryPair	Excellent			0	wyndham resort nashville	1107	wyndham hotel nashville	wyndham resort nashville
markarevalo	2138	2138	dd45045f8c68db9f54e70c67048d32e8	868	2015-07-15	QueryPair	Good	Manchester CT or TN?		0	hampton inn suites manchester ct	868	hampton inn suites manchester	hampton inn suites manchester ct
markarevalo	2139	2139	20d135f0f28185b84a4cf7aa51f29500	1112	2015-07-15	QueryPair	Excellent			0	comfort inn archdale nc	1112	comfort inn in archdale nc	comfort inn archdale nc
markarevalo	215	215	4d5b995358e7798bc7e9d9db83c612a5	835	2015-07-15	QueryPair	Excellent			0	american inn independence mo	835	american inn independence independence mo	american inn independence mo
markarevalo	2152	2152	38b3eff8baf56627478ec76a704e9b52	101	2015-07-15	QueryPair	Good	locations 20mi apart		0	hampton inn augusta	101	hampton inn waterville	hampton inn augusta
markarevalo	2160	2160	996a7fa078cc36c46d02f9af3bef918b	608	2015-07-15	QueryPair	Excellent			0	holiday inn express kansas city airport	608	holiday inn express kansas city mo airport	holiday inn express kansas city airport
markarevalo	2162	2162	ea119a40c1592979f51819b0bd38d39d	2197	2015-07-14	QueryPair	Good	locations 200mi apart		0	comfort inn solomons md	2197	comfort inn grantsville md	comfort inn solomons md
markarevalo	2166	2166	8d3bba7425e7c98c50f52ca1b52d3735	319	2015-07-15	QueryPair	Excellent			0	holiday inn express anchorage alaska	319	holiday inn express anchorage	holiday inn express anchorage alaska
markarevalo	2168	2168	e744f91c29ec99f0e662c9177946c627	969	2015-07-14	QueryPair	Excellent			0	seaworld san antonio	969	seaworld san antonio texas	seaworld san antonio
markarevalo	218	218	995e1fda4a2b5f55ef0df50868bf2a8f	1032	2015-07-14	QueryPair	Good	Jackson TN or Jackson MS?		0	comfort suites jackson tn	1032	comfort suites jackson jackson	comfort suites jackson tn
markarevalo	2182	2182	bca82e41ee7b0833588399b1fcd177c7	380	2015-07-14	QueryPair	Excellent			0	coral towers atlantis	380	coral towers atlantis resort	coral towers atlantis
markarevalo	219	219	fed33392d3a48aa149a87a38b875ba4a	1004	2015-07-14	QueryPair	Good	Lewisville TX or Lewisville NC?		0	hampton inn lewisville tx	1004	hampton inn lewisville	hampton inn lewisville tx
markarevalo	224	224	207f88018f72237565570f8a9e5ca240	1652	2015-07-14	QueryPair	Excellent			0	fairfield inn anaheim	1652	hotel fairfield inn in anaheim	fairfield inn anaheim
markarevalo	24	24	c0c7c76d30bd3dcaefc96f40275bdc0a	50	2015-07-14	QueryPair	Excellent			0	berkeley hotel richmond va	50	the berkeley hotel richmond virginia	berkeley hotel richmond va
markarevalo	252	252	4f4adcbf8c6f66dcfc8a3282ac2bf10a	404	2015-07-15	QueryPair	Excellent			0	casa ybel sanibel island	404	casa island resort sanibel ybel	casa ybel sanibel island
markarevalo	257	257	8d5e957f297893487bd98fa830fa6413	147	2015-07-14	QueryPair	Good	locations 20mi apart		0	best western piedmont sc	147	best western greenville sc	best western piedmont sc
markarevalo	263	263	ccb1d45fb76f7c5a0bf619f979c6cf36	549	2015-07-15	QueryPair	Excellent			0	marriott courtyard emeryville ca	549	courtyard emeryville ca	marriott courtyard emeryville ca
markarevalo	266	266	81e5f81db77c596492e6f1a5a792ed53	1250	2015-07-14	QueryPair	Good			0	brussels belgium map	1250	brussels belgium attractions	brussels belgium map
markarevalo	266	266	bdc4626aa1d1df8e14d80d345b2a442d	2115	2015-07-14	QueryPair	Good			1	brussels belgium map	2115	brussels travel	brussels belgium map
markarevalo	272	272	b6a1085a27ab7bff7550f8a3bd017df8	902	2015-07-14	QueryPair	Good			0	chicago illinois attractions	902	chicago illinois museums	chicago illinois attractions
markarevalo	279	279	8d9a0adb7c204239c9635426f35c9522	1378	2015-07-14	QueryPair	Excellent			0	grand case st martin	1378	grand case beach club st martin	grand case st martin
markarevalo	28	28	01161aaa0b6d1345dd8fe4e481144d84	236	2015-07-15	QueryPair	Excellent			0	extended stay tallahassee fl	236	extended stay tallahassee	extended stay tallahassee fl
markarevalo	280	280	81c8727c62e800be708dbf37c4695dff	1517	2015-07-14	QueryPair	Excellent			0	cincinnatian hotel cincinnati ohio	1517	cincinnatian hotel ohio	cincinnatian hotel cincinnati ohio
markarevalo	286	286	55c567fd4395ecef6d936cf77b8d5b2b	1497	2015-07-15	QueryPair	Good	different entities		0	harris hotel batam	1497	harris waterfront batam	harris hotel batam
markarevalo	301	301	4e6cd95227cb0c280e99a195be5f6615	1551	2015-07-15	QueryPair	Good			0	hampton inn brentwood tennessee	1551	hampton inn brentwood reviews	hampton inn brentwood tennessee
markarevalo	316	316	c44e503833b64e9f27197a484f4257c0	1188	2015-07-14	QueryPair	Excellent			0	baymont inn stevensville mi	1188	baymont stevensville mi	baymont inn stevensville mi
markarevalo	318	318	db8e1af0cb3aca1ae2d0018624204529	276	2015-07-14	QueryPair	Excellent			0	brookwood inn durham nc	276	brookwood inn durham	brookwood inn durham nc
markarevalo	321	321	e077e1a544eec4f0307cf5c3c721d944	1331	2015-07-14	QueryPair	Good			0	cruise line caribbean	1331	caribbean cruise ship	cruise line caribbean
markarevalo	323	323	af21d0c97db2e27e13572cbf59eb343d	1105	2015-07-14	QueryPair	Good			0	australia new zealand	1105	australia new zealand vacation	australia new zealand
markarevalo	324	324	1bc0249a6412ef49b07fe6f62e6dc8de	1602	2015-07-14	QueryPair	Excellent			0	fairmont hotel washington dc	1602	fairmont washington dc	fairmont hotel washington dc
markarevalo	333	333	3a066bda8c96b9478bb0512f0a43028c	661	2015-07-14	QueryPair	Bad	completely different locations		0	jiminy peak mountain	661	pikes peak mountain	jiminy peak mountain
markarevalo	339	339	eba0dc302bcd9a273f8bbb72be3a687b	484	2015-07-14	QueryPair	Excellent			0	doubletree hilton new york	484	doubletree ny	doubletree hilton new york
markarevalo	34	34	17e62166fc8586dfa4d1bc0e1742c08b	43	2015-07-15	QueryPair	Excellent			0	days inn bossier city la	43	days inn bossier city louisiana	days inn bossier city la
markarevalo	349	349	aa68c75c4a77c87f97fb686b2f068676	1003	2015-07-15	QueryPair	Excellent			0	carnival cruises jacksonville fl	1003	carnival cruise jacksonville florida	carnival cruises jacksonville fl
markarevalo	350	350	e6cb2a3c14431b55aa50c06529eaa21b	952	2015-07-14	QueryPair	Excellent			0	days inn ladson sc	952	days inn ladson	days inn ladson sc
markarevalo	355	355	2f25f6e326adb93c5787175dda209ab6	1872	2015-07-14	QueryPair	Excellent			0	aspen vacations	1872	aspen trips	aspen vacations
markarevalo	363	363	f18a6d1cde4b205199de8729a6637b42	1605	2015-07-14	QueryPair	Good			0	fogcatcher inn cambria	1605	fogcatcher inn review	fogcatcher inn cambria
markarevalo	368	368	674bfc5f6b72706fb769f5e93667bd23	1343	2015-07-14	QueryPair	Good			0	cozumel vacation package	1343	cozumel weekend package	cozumel vacation package
markarevalo	371	371	35464c848f410e55a13bb9d78e7fddd0	1548	2015-07-14	QueryPair	Good	q2 is geographic expansion		0	best western saranac lake	1548	best western adirondack	best western saranac lake
markarevalo	379	379	99bcfcd754a98ce89cb86f73acc04645	698	2015-07-14	QueryPair	Good			0	animal kingdom orlando florida	698	disneys animal kingdom villas orlando florida	animal kingdom orlando florida
markarevalo	380	380	bb7946e7d85c81a9e69fee1cea4a087c	1324	2015-07-15	QueryPair	Excellent			0	hotel avante mountain view ca	1324	hotel avante	hotel avante mountain view ca
markarevalo	381	381	c667d53acd899a97a85de0c201ba99be	1102	2015-07-14	QueryPair	Excellent			0	wingate tuscaloosa	1102	wingate wyndham tuscaloosa	wingate tuscaloosa
markarevalo	382	382	68148596109e38cf9367d27875e185be	1889	2015-07-14	QueryPair	Excellent			1	bozeman mt	1889	bozeman montana	bozeman mt
markarevalo	382	382	9996535e07258a7bbfd8b132435c5962	1235	2015-07-14	QueryPair	Fair			0	bozeman mt	1235	hotel bozeman mt	bozeman mt
markarevalo	387	387	9ac403da7947a183884c18a67d3aa8de	1042	2015-07-14	QueryPair	Excellent			0	aloft hotel tampa	1042	aloft tampa florida hotel	aloft hotel tampa
markarevalo	398	398	5c936263f3428a40227908d5a3847c0b	962	2015-07-15	QueryPair	Excellent			0	downtown hotel asheville nc	962	asheville downtown hotel	downtown hotel asheville nc
markarevalo	399	399	4e0cb6fb5fb446d1c92ede2ed8780188	966	2015-07-14	QueryPair	Excellent			0	ayres hotel moreno valley	966	ayres hotel spa moreno valley	ayres hotel moreno valley
markarevalo	400	400	ddb30680a691d157187ee1cf9e896d03	435	2015-07-14	QueryPair	Excellent			0	branson mo package deals	435	branson missouri package deals	branson mo package deals
markarevalo	401	401	0e65972dce68dad4d52d063967f0a705	198	2015-07-14	QueryPair	Excellent			0	best western hotels rome	198	best western hotels in rome italy	best western hotels rome
markarevalo	419	419	c203d8a151612acf12457e4d67635a95	442	2015-07-14	QueryPair	Good	Canton, MS or Canton, TX		0	best western canton ms	442	best western canton	best western canton ms
markarevalo	42	42	b6edc1cd1f36e45daf6d7824d7bb2283	810	2015-07-15	QueryPair	Excellent			0	crystal inn murray utah	810	crystal inn midvalley murray utah	crystal inn murray utah
markarevalo	420	420	087408522c31eeb1f982bc0eaf81d35f	510	2015-07-14	QueryPair	Excellent			0	boardwalk hotel disney	510	boardwalk disney hotel	boardwalk hotel disney
markarevalo	422	422	4558dbb6f6f8bb2e16d03b85bde76e2c	821	2015-07-15	QueryPair	Excellent			0	thistle marble arch london	821	thistle marble arch hotel london	thistle marble arch london
markarevalo	431	431	ac627ab1ccbdb62ec96e702f07f6425b	99	2015-07-14	QueryPair	Excellent			0	comfort inn chelsea mi	99	comfort inn chelsea hotel mi	comfort inn chelsea mi
markarevalo	437	437	dfce06801e1a85d6d06f1fdd4475dacd	1835	2015-07-15	QueryPair	Excellent			0	holiday inn glasgow airport	1835	express holiday inn glasgow airport	holiday inn glasgow airport
markarevalo	441	441	792c7b5aae4a79e78aaeda80516ae2ac	1374	2015-07-14	QueryPair	Good	q2 has multiple intents		0	brattleboro vermont	1374	brattleboro	brattleboro vermont
markarevalo	451	451	5a4b25aaed25c2ee1b74de72dc03c14e	391	2015-07-14	QueryPair	Good	locations 5mi apart		0	comfort inn knoxville tn	391	comfort inn powell tn	comfort inn knoxville tn
markarevalo	453	453	093f65e080a295f8076b1c5722a46aa2	59	2015-07-15	QueryPair	Excellent			0	comfort inn flowood ms	59	comfort suites flowood ms	comfort inn flowood ms
markarevalo	456	456	b9f94c77652c9a76fc8a442748cd54bd	1702	2015-07-15	QueryPair	Excellent			0	doubletree missoula edgewater	1702	doubletree edgewater	doubletree missoula edgewater
markarevalo	467	467	148510031349642de5ca0c544f31b2ef	1670	2015-07-15	QueryPair	Excellent			0	hilton garden inn akron canton airport	1670	hilton garden inn akron canton	hilton garden inn akron canton airport
markarevalo	47	47	f7177163c833dff4b38fc8d2872f1ec6	44	2015-07-15	QueryPair	Excellent			0	angleterre hotel berlin	44	berlin angleterre hotel	angleterre hotel berlin
markarevalo	473	473	f016e59c7ad8b1d72903bb1aa5720d53	1394	2015-07-14	QueryPair	Good			0	cordoba spain	1394	cordoba hotel spain	cordoba spain
markarevalo	475	475	a63fc8c5d915e1f1a40f40e6c7499863	1753	2015-07-14	QueryPair	Excellent			0	clarion hotel sevierville tn	1753	clarion sevierville	clarion hotel sevierville tn
markarevalo	479	479	df12ecd077efc8c23881028604dbb8cc	1523	2015-07-15	QueryPair	Fair	q2 is much more specific AND for a different market		0	holiday inn brentwood	1523	holiday inn brentwood uk	holiday inn brentwood
markarevalo	484	484	11d0e6287202fced83f79975ec59a3a6	1680	2015-07-14	QueryPair	Excellent			0	stillwell hotel los angeles	1680	stillwell hotel los angeles ca	stillwell hotel los angeles
markarevalo	495	495	ec8ce6abb3e952a85b8551ba726a1227	220	2015-07-15	QueryPair	Good			0	hampton inn charlottesville va	220	hampton inn va	hampton inn charlottesville va
markarevalo	497	497	1baff70e2669e8376347efd3a874a341	1489	2015-07-15	QueryPair	Excellent			0	holiday inn express littleton co	1489	holiday inn express suites littleton co	holiday inn express littleton co
markarevalo	500	500	80a8155eb153025ea1d513d0b2c4b675	1451	2015-07-14	QueryPair	Excellent	q1 misspelled		0	baccarat hotel santa barbara	1451	santa barbara bacara	baccarat hotel santa barbara
markarevalo	501	501	24f0d2c90473b2bc949ad962e61d9bcb	2105	2015-07-15	QueryPair	Excellent			0	baymont inn des moines	2105	baymont des moines	baymont inn des moines
markarevalo	503	503	ce5140df15d046a66883807d18d0264b	1023	2015-07-15	QueryPair	Excellent			0	georgian terrace hotel atlanta georgia	1023	the georgian terrace hotel atlanta georgia	georgian terrace hotel atlanta georgia
markarevalo	510	510	84c6494d30851c63a55cdb8cb047fadd	1738	2015-07-14	QueryPair	Good	locations 20mi apart		0	embassy suites concord north carolina	1738	embassy suites charlotte north carolina	embassy suites concord north carolina
markarevalo	511	511	0bb4aec1710521c12ee76289d9440817	349	2015-07-14	QueryPair	Excellent			0	grand excelsior hotel bur dubai	349	grand excelsior hotel dubai	grand excelsior hotel bur dubai
markarevalo	514	514	2a9d121cd9c3a1832bb6d2cc6bd7a8a7	912	2015-07-15	QueryPair	Excellent			0	comfort inn downtown nashville	912	comfort inn nashville in	comfort inn downtown nashville
markarevalo	518	518	3e9e39fed3b8369ed940f52cf300cf88	2083	2015-07-15	QueryPair	Excellent			0	corning glass museum corning ny	2083	corning museum corning ny	corning glass museum corning ny
markarevalo	529	529	07c5807d0d927dcd0980f86024e5208b	713	2015-07-15	QueryPair	Good			0	cap juluca anguilla	713	cap juluca deals	cap juluca anguilla
markarevalo	535	535	41e7637e7b6a9f27a98b84d3a185c7c0	2168	2015-07-15	QueryPair	Excellent			0	holiday inn pocatello idaho	2168	holliday inn pocatello idaho	holiday inn pocatello idaho
markarevalo	537	537	74563ba21a90da13dacf2a73e3ddefa7	1726	2015-07-14	QueryPair	Excellent			0	grand hyatt hotel nyc	1726	grand hyatt hotel in nyc	grand hyatt hotel nyc
markarevalo	538	538	2a38a4a9316c49e5a833517c45d31070	88	2015-07-15	QueryPair	Good	Greenwood SC or MS?		0	hampton inn greenwood sc	88	hampton inn greenwood	hampton inn greenwood sc
markarevalo	541	541	9de6d14fff9806d4bcd1ef555be766cd	350	2015-07-15	QueryPair	Excellent			0	days inn elizabeth city nc	350	days inn elizabeth city	days inn elizabeth city nc
markarevalo	542	542	a486cd07e4ac3d270571622f4f316ec5	2152	2015-07-14	QueryPair	Excellent			0	embassy suites savannah airport	2152	embassy suites savannah airport savannah	embassy suites savannah airport
markarevalo	545	545	d296c101daa88a51f6ca8cfc1ac79b50	296	2015-07-15	QueryPair	Fair	competitor		0	disneyland hotel paris france	296	kyriad disneyland hotel paris france	disneyland hotel paris france
markarevalo	555	555	185e65bc40581880c4f2c82958de8cfe	746	2015-07-14	QueryPair	Excellent			0	best western encinitas ca	746	best western encinitas hotel	best western encinitas ca
markarevalo	56	56	d8700cbd38cc9f30cecb34f0c195b137	1057	2015-07-15	QueryPair	Excellent			0	citadines ramblas barcelona	1057	citadines ramblas barcelona apart hotel	citadines ramblas barcelona
markarevalo	562	562	66368270ffd51418ec58bd793f2d9b1b	431	2015-07-15	QueryPair	Excellent			0	comfort inn naugatuck ct	431	comfort inn naugatuck hotel ct	comfort inn naugatuck ct
markarevalo	575	575	18997733ec258a9fcaf239cc55d53363	427	2015-07-14	QueryPair	Excellent			0	branson show tickets	427	branson missouri shows tickets	branson show tickets
markarevalo	582	582	c73dfe6c630edb4c1692db67c510f65c	1348	2015-07-15	QueryPair	Excellent			0	homewood suites alexandria va	1348	homewood suites alexandria	homewood suites alexandria va
markarevalo	588	588	dd055f53a45702fe05e449c30ac80df9	1976	2015-07-14	QueryPair	Excellent			0	edgewater naples florida	1976	edgewater naples	edgewater naples florida
markarevalo	591	591	537d9b6c927223c796cac288cced29df	1040	2015-07-14	QueryPair	Excellent			0	baymont inn suites traverse city mi	1040	baymont inn suites traverse city	baymont inn suites traverse city mi
markarevalo	595	595	4b0250793549726d5c1ea3906726ebfe	894	2015-07-14	QueryPair	Excellent			0	comfort inn pomona ca	894	pomona hotel comfort inn	comfort inn pomona ca
markarevalo	608	608	68b1fbe7f16e4ae3024973f12f3cb313	1093	2015-07-15	QueryPair	Good	borderline Excellent - almost synonymous		0	day tours dublin ireland	1093	tours dublin ireland	day tours dublin ireland
markarevalo	612	612	4a08142c38dbe374195d41c04562d9f8	1059	2015-07-15	QueryPair	Excellent			0	green river hotels utah	1059	green river utah hotels	green river hotels utah
markarevalo	614	614	a684eceee76fc522773286a895bc8436	54	2015-07-14	QueryPair	Excellent			0	warwick hotel denver co	54	denver warwick hotel	warwick hotel denver co
markarevalo	618	618	e19347e1c3ca0c0b97de5fb3b690855a	1115	2015-07-14	QueryPair	Excellent			0	dotonbori hotel osaka	1115	hotel dotonbori osaka	dotonbori hotel osaka
markarevalo	62	62	8038da89e49ac5eabb489cfc6cea9fc1	2013	2015-07-15	QueryPair	Excellent			0	baymont inn bloomington il	2013	baymont inn bloomington	baymont inn bloomington il
markarevalo	621	621	0b1ec366924b26fc98fa7b71a9c249cf	2091	2015-07-15	QueryPair	Good	q2 can be either NY or ON		0	hilton hotel niagara falls ny	2091	hilton hotels niagara falls	hilton hotel niagara falls ny
markarevalo	624	624	310dcbbf4cce62f762a2aaa148d556bd	333	2015-07-15	QueryPair	Excellent			0	sofitel hotel heathrow	333	sofitel heathrow	sofitel hotel heathrow
markarevalo	627	627	2d1b2a5ff364606ff041650887723470	1888	2015-07-15	QueryPair	Excellent			0	hotel catalonia punta cana	1888	catalonia resort punta cana	hotel catalonia punta cana
markarevalo	632	632	85422afb467e9456013a2a51d4dff702	526	2015-07-14	QueryPair	Excellent			0	inner harbor baltimore maryland	526	baltimore harbor	inner harbor baltimore maryland
markarevalo	633	633	24681928425f5a9133504de568f5f6df	683	2015-07-14	QueryPair	Excellent			0	daytona beach vacation	683	daytona vacations	daytona beach vacation
markarevalo	633	633	95151403b0db4f75bfd8da0b393af853	1461	2015-07-14	QueryPair	Good			1	daytona beach vacation	1461	daytona beach	daytona beach vacation
markarevalo	637	637	88a839f2f6f1427879fc33ee4acf4f66	2170	2015-07-15	QueryPair	Excellent			0	extended stay san antonio texas	2170	extended stay san antonio tx	extended stay san antonio texas
markarevalo	645	645	a1afc58c6ca9540d057299ec3016d726	1573	2015-07-15	QueryPair	Excellent			0	encore wynn las vegas	1573	encore las vegas wynn	encore wynn las vegas
markarevalo	657	657	88a199611ac2b85bd3f76e8ee7e55650	1581	2015-07-15	QueryPair	Excellent			0	holiday inn express santa fe	1581	holiday inn express mexico santa fe	holiday inn express santa fe
markarevalo	659	659	81e74d678581a3bb7a720b019f4f1a93	812	2015-07-14	QueryPair	Excellent			0	comfort inn randolph ma	812	comfort inn randolph boston	comfort inn randolph ma
markarevalo	662	662	a4300b002bcfb71f291dac175d52df94	909	2015-07-15	QueryPair	Excellent			0	hilton garden inn addison tx	909	hilton garden inn addison addison tx	hilton garden inn addison tx
markarevalo	664	664	847cc55b7032108eee6dd897f3bca8a5	857	2015-07-15	QueryPair	Good			0	ft pierce fl	857	fort pierce inn fl	ft pierce fl
markarevalo	665	665	e4dd5528f7596dcdf871aa55cfccc53c	1959	2015-07-14	QueryPair	Good	q1 suggests to or from las vegas		0	cheapest flight las vegas	1959	cheapest flight to vegas	cheapest flight las vegas
markarevalo	670	670	52d080a3e172c33fd6886a37e7288491	1709	2015-07-14	QueryPair	Good			0	escorted tour europe	1709	europe tours	escorted tour europe
markarevalo	671	671	955cb567b6e38f4c6b3f28cc857fc38c	2054	2015-07-14	QueryPair	Excellent			0	azul fives hotel playa del carmen	2054	azul fives karisma hotel playa del carmen	azul fives hotel playa del carmen
markarevalo	682	682	372d3f309fef061977fb2f7ba36d74d2	1465	2015-07-15	QueryPair	Good			0	days inn nj	1465	days inn wrightstown	days inn nj
markarevalo	690	690	801c14f07f9724229175b8ef8b4585a8	1137	2015-07-15	QueryPair	Good			0	hyatt place alpharetta	1137	amerisuites alpharetta	hyatt place alpharetta
markarevalo	693	693	3fab5890d8113d0b5a4178201dc842ad	1803	2015-07-15	QueryPair	Good			0	brown deer wi	1803	brown deer wi hotel	brown deer wi
markarevalo	696	696	dc82d632c9fcecb0778afbc7924494a6	607	2015-07-15	QueryPair	Excellent			0	club quarters boston ma	607	club quarters boston boston ma	club quarters boston ma
markarevalo	708	708	0c8ce55163055c4da50a81e0a273468c	1503	2015-07-15	QueryPair	Excellent			0	extended stay fayetteville nc	1503	fayetteville extended stay	extended stay fayetteville nc
markarevalo	71	71	4476b929e30dd0c4e8bdbcc82c6ba23a	1309	2015-07-15	QueryPair	Good			0	guanacaste costa rica	1309	guanacaste costa rica resort	guanacaste costa rica
markarevalo	717	717	e5b294b70c9647dcf804d7baa1903918	1927	2015-07-14	QueryPair	Good	Kingston, RI; ON; or Jamaica?		0	comfort inn kingston ontario	1927	comfort inn kingston	comfort inn kingston ontario
markarevalo	722	722	735b90b4568125ed6c3f678819b6e058	67	2015-07-15	QueryPair	Excellent			0	comfort suites arlington	67	comfort inn in arlington	comfort suites arlington
markarevalo	724	724	a5a61717dddc3501cfdf7a4e22d7dbaa	2033	2015-07-14	QueryPair	Excellent			0	comfort inn vidalia la	2033	comfort suites vidalia	comfort inn vidalia la
markarevalo	73	73	b8c37e33defde51cf91e1e03e51657da	1001	2015-07-14	QueryPair	Excellent			0	comfort inn suites st augustine	1001	comfort inn and suites st augustine	comfort inn suites st augustine
markarevalo	734	734	2a79ea27c279e471f4d180b08d62b00a	155	2015-07-14	QueryPair	Excellent			0	atlantis hotel reno	155	atlantis reno nv	atlantis hotel reno
markarevalo	74	74	e00da03b685a0dd18fb6a08af0923de0	139	2015-07-15	QueryPair	Excellent			0	country inn suites branson mo	139	country inn branson mo	country inn suites branson mo
markarevalo	750	750	dea9ddb25cbf2352cf4dec30222a02a5	1906	2015-07-14	QueryPair	Fair	expanding from city to province		0	qingdao china	1906	shandong china	qingdao china
markarevalo	752	752	fc6709bfdf0572f183c1a84ce5276e96	1718	2015-07-15	QueryPair	Excellent			0	crowne plaza hotel fairfield nj	1718	crowne plaza fairfield hotel nj	crowne plaza hotel fairfield nj
markarevalo	753	753	28dd2c7955ce926456240b2ff0100bde	77	2015-07-14	QueryPair	Excellent			0	quality inn sacramento ca	77	quality inn suites sacramento	quality inn sacramento ca
markarevalo	756	756	c4015b7f368e6b4871809f49debe0579	923	2015-07-15	QueryPair	Excellent			0	comfort inn kansas city kansas	923	comfort inn kansas city mo	comfort inn kansas city kansas
markarevalo	757	757	9c838d2e45b2ad1094d42f4ef36764f6	291	2015-07-14	QueryPair	Fair	locations 10 mi apart		0	comfort inn albany	291	comfort inn latham	comfort inn albany
markarevalo	770	770	dbe272bab69f8e13f14b405e038deb64	592	2015-07-15	QueryPair	Good			0	cancun vacation deals	592	cancun mexico vacations	cancun vacation deals
markarevalo	771	771	b53b3a3d6ab90ce0268229151c9bde11	55	2015-07-15	QueryPair	Excellent			0	gold strike casino tunica	55	goldstrike tunica	gold strike casino tunica
markarevalo	775	775	14cfdb59b5bda1fc245aadae15b1984a	1823	2015-07-15	QueryPair	Excellent			0	harrison hotel miami beach	1823	miami beach hotel harrison	harrison hotel miami beach
markarevalo	780	780	6490791e7abf6b29a381288cc23a8223	1499	2015-07-15	QueryPair	Excellent			0	hampton inn hadley	1499	hadley hampton inn	hampton inn hadley
markarevalo	790	790	1651cf0d2f737d7adeab84d339dbabd3	438	2015-07-14	QueryPair	Excellent			0	baymont inn suites bloomington il	438	baymont suites bloomington	baymont inn suites bloomington il
markarevalo	797	797	df0aab058ce179e4f7ab135ed4e641a9	1148	2015-07-14	QueryPair	Excellent			0	days inn desoto tx	1148	days inn hotel desoto tx	days inn desoto tx
markarevalo	798	798	e4bb4c5173c2ce17fd8fcd40041c068f	695	2015-07-15	QueryPair	Excellent			0	hampton inn mount dora florida	695	hampton mount dora florida	hampton inn mount dora florida
markarevalo	809	809	b2ab001909a8a6f04b51920306046ce5	2093	2015-07-15	QueryPair	Excellent			0	intercontinental times square new york	2093	intercontinental new york times square	intercontinental times square new york
markarevalo	812	812	d64a340bcb633f536d56e51874281454	530	2015-07-15	QueryPair	Good			0	downtown hotels portland oregon	530	downtown hotel rooms portland oregon	downtown hotels portland oregon
markarevalo	82	82	100d9f30ca54b18d14821dc88fea0631	2181	2015-07-15	QueryPair	Good			0	cannon beach oregon	2181	cannon beach hotel	cannon beach oregon
markarevalo	835	835	d240e3d38a8882ecad8633c8f9c78c9b	958	2015-07-14	QueryPair	Excellent			0	atlantic hotel fort lauderdale	958	the atlantic hotel fort lauderdale	atlantic hotel fort lauderdale
markarevalo	837	837	07a4e20a7bbeeb7a736682b26b16ebe8	1914	2015-07-14	QueryPair	Good			0	things do nashville tennessee	1914	sightseeing nashville tennessee	things do nashville tennessee
markarevalo	845	845	4f398cb9d6bc79ae567298335b51ba8a	1664	2015-07-14	QueryPair	Excellent			0	wolcott hotel nyc	1664	new york city hotel wolcott	wolcott hotel nyc
markarevalo	85	85	2ba8698b79439589fdd2b0f7218d8b07	1249	2015-07-14	QueryPair	Excellent			0	comfort inn davenport fl	1249	comfort inn maingate davenport fl	comfort inn davenport fl
markarevalo	866	866	d395771085aab05244a4fb8fd91bf4ee	279	2015-07-15	QueryPair	Good	from specific to general		0	hilton grand vacations orlando	279	hilton grand vacations mco	hilton grand vacations orlando
markarevalo	868	868	757f843a169cc678064d9530d12a1881	1674	2015-07-15	QueryPair	Good			0	dominican republic map punta cana	1674	dominican republic punta cana	dominican republic map punta cana
markarevalo	87	87	a588a6199feff5ba48402883d9b72700	1704	2015-07-15	QueryPair	Good			0	family vacation packages hawaii	1704	family hawaii vacations	family vacation packages hawaii
markarevalo	880	880	38ca89564b2259401518960f7a06f94b	1161	2015-07-15	QueryPair	Excellent			0	hotel bellevue syrene sorrento	1161	bellevue syrene sorrent	hotel bellevue syrene sorrento
markarevalo	901	901	eefc9e10ebdc4a2333b42b2dbb8f27b6	763	2015-07-14	QueryPair	Good			0	atlantic city packages	763	atlantic city casino packages	atlantic city packages
markarevalo	902	902	204da255aea2cd4a75ace6018fad6b4d	1547	2015-07-14	QueryPair	Excellent			0	windemere hotel mesa az	1547	windemere hotel mesa	windemere hotel mesa az
markarevalo	913	913	31839b036f63806cba3f47b93af8ccb5	817	2015-07-14	QueryPair	Excellent			0	best western mackinaw city mi	817	mackinaw city best western	best western mackinaw city mi
markarevalo	920	920	cec6f62cfb44b1be110b7bf70c8362d8	1468	2015-07-15	QueryPair	Excellent			0	holiday inn phoenix airport north	1468	holiday inn phoenix airport north hotel	holiday inn phoenix airport north
markarevalo	928	928	6a10bbd480e4c5573d8f3af73ae0454b	635	2015-07-15	QueryPair	Excellent			0	fairmont olympic hotel seattle washington	635	fairmont hotel olympic seattle	fairmont olympic hotel seattle washington
